bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
70-72,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
72-84,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
72-84,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
72-84,RADIONAVIGATION,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 72-84 kHz. Cf. no 5.57 du RR."
84-86,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
86-90,FIXE,,,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
86-90,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
86-90,RADIONAVIGATION,,,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 86-90 kHz. Cf. no 5.57 du RR."
90-110,RADIONAVIGATION,5.62,Les administrations qui exploitent des stations du service de radionavigation dans la bande 90-110 kHz sont instamment priées d'en coordonner les caractéristiques techniques et d'exploitation de manière à éviter des brouillages préjudiciables aux services assurés par ces stations.,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
90-110,Fixe,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
110-112,FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
110-112,MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
110-112,RADIONAVIGATION,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
112-115,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"115-117,6",RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"115-117,6",Fixe,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"115-117,6",Mobile maritime,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"117,6-126",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"117,6-126",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"117,6-126",RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
126-129,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
129-130,FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
129-130,MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
129-130,RADIONAVIGATION,5.60,"Dans les bandes 70-90 kHz (70-86 kHz en Région 1) et 110-130 kHz (112-130 kHz en Région 1), les systèmes de radionavigation par impulsions peuvent être utilisés à la condition qu'ils ne causent pas de brouillage préjudiciable aux autres services auxquels ces bandes sont attribuées.",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"130-135,7",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"130-135,7",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"135,7-137,8",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"135,7-137,8",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"135,7-137,8",Amateur,5.67A,"La puissance rayonnée maximale des stations du service d'amateur utilisant des fréquences dans la bande 135,7-137,8 kHz ne doit pas dépasser 1 W (p.i.r.e.) et ces stations ne doivent pas causer de brouillage préjudiciable aux stations du service de radionavigation exploitées dans les pays énumérés au numéro 5.67. (CMR-07)",5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"137,8-148,5",FIXE,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"137,8-148,5",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"283,5-315",(Radiophares),5.73,"La bande 285-325 kHz (283,5-325 kHz en Région 1) attribuée au service de radionavigation maritime peut être utilisée pour la transmission d'informations supplémentaires utiles à la navigation, à l'aide de techniques à bande étroite, à condition de ne pas causer de brouillages préjudiciables aux stations de radiophare exploitées dans le cadre du service de radionavigation. (CMR-97)",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
"283,5-315",,5.74,"Attribution additionnelle: en Région 1, la bande de fréquences 285,3-285,7 kHz est, de plus, attribuée au service de radionavigation maritime (autre que radiophares) à titre primaire.",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
315-325,(radiophares),5.73,"La bande 285-325 kHz (283,5-325 kHz en Région 1) attribuée au service de radionavigation maritime peut être utilisée pour la transmission d'informations supplémentaires utiles à la navigation, à l'aide de techniques à bande étroite, à condition de ne pas causer de brouillages préjudiciables aux stations de radiophare exploitées dans le cadre du service de radionavigation. (CMR-97)",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
